tau_frac,psi_frac,dW_total,dW_total_pct,dW_r1_pct,dW_r2_pct,dW_r3_pct
0.8,0.3,-0.0005099907545149662,-0.007893007234825831,-0.17009591347242634,-0.15577632522525692,0.29828334932701145
0.8,0.4,-0.0004538444555803878,-0.007024044141326621,-0.17539993380715668,-0.16145141094494522,0.3117074481284206
0.8,0.5,-0.0004026237608307781,-0.0062313134679716185,-0.18579731182922238,-0.16765624715736674,0.33046394163172316
0.8,0.6,-0.00017395435543310356,-0.00269225073946445,-0.19228541735865246,-0.171873843494896,0.3515649367574344
0.8,0.7,6.427221334792677e-5,0.0009947259640734683,-0.19591236615612093,-0.18882172325542096,0.38282468990706453
0.8,0.8,-0.00014137124340507512,-0.0021879695604557,-0.2167799668242944,-0.2186930150081657,0.42343813944737474
0.8,0.9,-0.00014345572631846437,-0.00222023061336812,-0.22339438337072262,-0.24099611396836557,0.45186757334010774
0.8,1.0,-7.417464375159e-6,-0.00011479835557582593,-0.2338404586241365,-0.2552387666870145,0.4824999163492906
0.9,0.0,-0.0006033215046121754,-0.00933746535338448,-0.10678343387738512,-0.12064760237004309,0.19674847729782957
0.9,0.1,-0.0005541112821836336,-0.008575850288371628,-0.12720013098023944,-0.13053304111683786,0.22894880927055494
0.9,0.2,-0.00039033337879512686,-0.0060410981092276555,-0.1514879629824294,-0.14686171851600846,0.27660296944197965
0.9,0.3,-0.00041716414293180293,-0.006456351549749537,-0.17106485041947436,-0.1600391717677641,0.30771697821999117
0.9,0.4,-0.00035967659399727125,-0.005566630244734493,-0.17664421212374168,-0.16665547111257542,0.32240287433403636
0.9,0.5,-0.0003084558992476616,-0.004773899571379491,-0.18704159014580735,-0.17286030732499694,0.34115936783733897
0.9,0.6,-7.978649385087522e-5,-0.0012348368428860682,-0.1935296956752581,-0.17707790366252618,0.36226036296305014
0.9,0.7,0.00015844007493104328,0.002452139860665596,-0.19715664447272657,-0.19402578342300966,0.39352011611270077
0.9,0.8,-4.720338182107042e-5,-0.0007305556638498263,-0.21802424514087937,-0.22389707517577515,0.434133565653011
0.9,0.9,-0.00010503739038991711,-0.0016256390433260516,-0.22623699091575863,-0.24780374140586806,0.46315769648001304
0.9,1.0,3.100087155250009e-5,0.0004797932144524961,-0.2366830661691725,-0.26204639412451697,0.49379003948919586
1.0,0.0,-0.0009841273796373784,-0.01523110852245864,-0.1254261841911381,-0.1369060684070298,0.2136794483206537
1.0,0.1,-0.0009055199010079562,-0.014014519021491053,-0.1404830154465652,-0.1517421620439326,0.2468124882711078
1.0,0.2,-0.0007341910184530676,-0.011362902109677652,-0.16548321411857445,-0.16878554067954724,0.2962232419583865
1.0,0.3,-0.00076102178259152,-0.011778155550227026,-0.18506010155561942,-0.18196299393134438,0.32733725073637754
1.0,0.4,-0.0007048754836569415,-0.010909192456727815,-0.1903641218903498,-0.18763807965105342,0.3407613495377867
1.0,0.5,-0.0006536547889073319,-0.010116461783372813,-0.20076149991243614,-0.1938429158634542,0.35951784304110973
